z_low,z_hi,fontana_comp_m,fontana_comp_dndlogm,muzzin_m,muzzin_dndlogm,santini_m,santini_dndlogm,march_m,march_dndlogm,san_fr_lee_m,san_fr_lee_dndlogm,caputi_m,caputi_dndlogm,fontana_inc_m,fontana_inc_dndlogm,li_m,li_dndlogm,perez_m,perez_dndlogm,cole_m,cole_dndlogm,baldry_comp_m,baldry_comp_dndlogm,baldry_inc_m,baldry_inc_dndlogm,drory_m,drory_dndlogm,duncan_comp_m,duncan_comp_dndlogm,duncan_inc_m,duncan_inc_dndlogm,lee_m,lee_dndlogm,mous_m,mous_dndlogm
0.6,0.8,11.5997090722,-3.6539036407,,,,,,,,,,,11.5997090722,-3.6539036407,,,11.5946011167,-3.6051425377,,,,,,,11.4920881971,-3.755874845,,,,,,,,
0.6,0.8,11.3964501321,-2.9781897898,,,,,,,,,,,11.3964501321,-2.9781897898,,,11.3900899163,-3.276020123,,,,,,,11.2439040208,-3.1825089639,,,,,,,,
0.6,0.8,11.1978459767,-2.7348879666,,,,,,,,,,,11.1978459767,-2.7348879666,,,11.1936708199,-2.8216880939,,,,,,,10.9957198444,-2.7905354055,,,,,,,,
0.6,0.8,11.0023450114,-2.4979902327,,,,,,,,,,,11.0023450114,-2.4979902327,,,11.005608768,-2.6571268865,,,,,,,10.747535668,-2.5639489649,,,,,,,,
0.6,0.8,10.7975344762,-2.5974215504,,,,,,,,,,,10.7975344762,-2.5974215504,,,10.801216334,-2.5140301845,,,,,,,10.4965629053,-2.4920812353,,,,,,,,
0.6,0.8,10.5989303209,-2.3124797528,,,,,,,,,,,10.5989303209,-2.3124797528,,,10.5968238999,-2.3709334824,,,,,,,10.2567444877,-2.4308767226,,,,,,,,
0.6,0.8,10.4003261656,-2.4823745984,,,,,,,,,,,10.4003261656,-2.4823745984,,,10.3924497376,-2.2564561207,,,,,,,10.0029831388,-2.3456730522,,,,,,,,
0.6,0.8,10.1986188204,-2.3351670843,,,,,,,,,,,10.1986188204,-2.3351670843,,,10.1921867205,-2.1813303522,,,,,,,9.7464332036,-2.1884476894,,,,,,,,
0.6,0.8,9.9984630701,-2.1719431651,,,,,,,,,,,10.0000146651,-2.1847544347,,,10.0001048823,-2.1205142538,,,,,,,9.5010376135,-2.0338829411,,,,,,,,
0.6,0.8,9.7998589148,-2.2105119377,,,,,,,,,,,9.7998589148,-2.2105119377,,,9.7957626956,-2.0561207378,,,,,,,9.2528534371,-1.8899900593,,,,,,,,
0.6,0.8,9.6012547595,-2.0761146629,,,,,,,,,,,9.5981515696,-2.0761167234,,,9.5955499258,-2.0596981554,,,,,,,,,,,,,,,,
0.6,0.8,9.3995474143,-1.9865624979,,,,,,,,,,,9.3995474143,-2.0089840225,,,9.395334872,-2.0596981554,,,,,,,,,,,,,,,,
0.6,0.8,9.200943259,-1.7560729745,,,,,,,,,,,9.200943259,-1.9130236471,,,9.2012511345,-2.0632755729,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,8.9976843188,-1.8362848122,,,12.0020607375,-4.5944608432,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,8.8006317584,-1.705089582,,,,,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,8.6020276031,-1.7468614296,,,,,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,8.3987686629,-1.6284826203,,,,,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,8.2001645076,-1.654239093,,,,,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,8.0015603523,-1.9490538617,,,,,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,7.7983014121,-2.3335578199,,,,,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,7.6012488518,-2.9262575289,,,,,,,,,,,,,,,,,,,,
0.6,0.8,,,,,,,,,,,,,7.4026446965,-3.0288878005,,,,,,,,,,,,,,,,,,,,
0.8,1,11.6863971022,-4.0671574553,,,,,,,,,,,11.6863971022,-4.0671574553,,,11.8001084599,-4.1108418296,,,,,,,11.7329268293,-4.6467528075,,,,,,,10.8,-2.5831
0.8,1,11.4889114326,-3.4731911203,,,,,,,,,,,11.4889114326,-3.4731911203,,,11.5940347072,-3.6380419019,,,,,,,11.4872913992,-3.745746516,,,,,,,10.9,-2.6581
0.8,1,11.2897698939,-3.0727932128,,,,,,,,,,,11.2897698939,-3.0727932128,,,11.3962039046,-3.1616421338,,,,,,,11.2416559692,-3.0792517927,,,,,,,11,-2.7012
0.8,1,11.0856691161,-3.2268538747,,,,,,,,,,,11.0856691161,-3.2268538747,,,11.198373102,-2.9089176757,,,,,,,10.9877406932,-2.6947030172,,,,,,,11.1,-2.842
0.8,1,10.8864376187,-3.108608137,,,,,,,,,,,10.889622787,-3.118452823,,,10.9964208243,-2.7463809619,,,,,,,10.7393453145,-2.4656135841,,,,,,,11.2,-3.0386
0.8,1,10.6903829213,-3.0264537988,,,,,,,,,,,10.6903829213,-3.0264537988,,,10.7985900217,-2.6018864925,,,,,,,10.4881899872,-2.3761787985,,,,,,,11.3,-3.2961
0.8,1,10.4896189865,-2.7146374651,,,,,,,,,,,10.4896189865,-2.7146374651,,,10.596637744,-2.5078954383,,,,,,,10.2425545571,-2.3209951292,,,,,,,11.4,-3.4532
0.8,1,10.2887682311,-2.6751307836,,,,,,,,,,,10.2887682311,-2.6751307836,,,10.3864425163,-2.3922505606,,,,,,,9.9941591784,-2.2605432283,,,,,,,11.5,-3.7656
0.8,1,10.0911455313,-2.5109543816,,,,,,,,,,,10.0911455313,-2.5109543816,,,10.1927331887,-2.3379516614,,,,,,,9.7457637997,-2.126312407,,,,,,,11.6,-4.32
0.8,1,9.887096009,-2.5042539235,,,,,,,,,,,9.887096009,-2.5042539235,,,9.9949023861,-2.2656105178,,,,,,,9.4973684211,-2.0078913543,,,,,,,11.7,-4.4392
0.8,1,9.6878655576,-2.3827273467,,,,,,,,,,,9.6878655576,-2.3827273467,,,9.7929501085,-2.2040884602,,,,,,,,,,,,,,,11.8,-5.0689
0.8,1,9.491867346,-2.1234076925,,,,,,,,,,,9.4918495635,-2.1791819586,,,9.5909978308,-2.1569970678,,,,,,,,,,,,,,,12,-5.71
0.8,1,,,,,,,,,,,,,9.2878335143,-2.0674946467,,,9.3972885033,-2.0666215056,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,9.0886009708,-1.9525297482,,,11.9974963547,-4.6722442537,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,8.8909395678,-1.909744396,,,,,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,8.6885197639,-1.7914964898,,,,,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,8.4892610696,-1.7585525709,,,,,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,8.2915400428,-1.9027750522,,,,,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,8.0873890554,-2.2143159949,,,,,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,7.8895435508,-2.748958339,,,,,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,7.6916122715,-3.5526294961,,,,,,,,,,,,,,,,,,,,
0.8,1,,,,,,,,,,,,,7.4874089825,-4.028212398,,,,,,,,,,,,,,,,,,,,
1,1.3,11.6237701399,-3.6305106658,,,,,,,,,,,11.6237701399,-3.6305106658,,,11.7882287672,-4.2190750467,,,,,,,,,,,,,,,,
